# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a,111117.308601,11111730860.100000,11111730860.100000,0.000000,0.000000,0.000000
1b,111074.522371,11107452237.100000,11107452237.100000,0.000000,0.000000,0.000000
2,432000.000000,432000.000000,432000.000000,0.000000,0.000000,0.000000
3a,0.002277,0.002277,0.002277,0.000000,0.000000,0.000000
3b,0.000304,0.000304,0.000304,0.000000,0.000000,0.000000
3c,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000
3d,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4a,0.000005,0.000005,0.000005,0.000000,0.000000,0.000000
4b,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000
4c,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4d,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,166200.000000,166200.000000,166200.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
